filename,response
00c54328-8781-4234-b0a4-ebbdcfecdefd.xls_FYchart.csv,"
Header: 0
Group Header: None
Metadata: None
Note: None
Derived: None"
careerearningsanalysis.xls_lecturer pre_92.csv,"
Header: Grade, years in service, Current Spine point, Current salary 1.8.04, Proposed new spine point, Proposed salary from 1.8.04, annual salary difference, comments, career earnings plus/minus
Group Header: Lecturer A/Proposed Academic 2, Lecturer B/Proposed Academic 3
Data: 0 (pt 8/30), 8.0, 23643.0, 30.0, 24886.0, 1243"
geir_solberg__11282__11-17act.xlsx_Fuel.csv,"
Header: ,,,MUST be updated DAILY,,,,,,,,,,,MAY be updated DAILY,,,,,,,,,,MUST be updated MONTHLY,,,,,,,,,
Group Header: SAN JUAN,,,,WAHA,,,,,,,
Metadata: ANALYSIS OF CURRENT MONTH WEIGHTED AVERAGE PRICES,,,,,,,,,,,
Note: February,,,,,,,,,,,
Derived: INTERSTATE,,,,,,,,,,,,,,,INTRASTATE,,,,,,,,,,,,,,,"
errol_mclaughlin_jr__10001__DKR_400bp_11-19-01.xlsx_Nymex.csv,"
Header: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14
Group Header: 15, 16, 17
Metadata: 18
Note: 19
Derived: 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42,"
01a091e4-f210-47ac-ae87-46b9be284f54.xlsx_Books.csv,"

Header: Title, Editor, Date
Data: Language Teaching Surveys, CILT ETIC, Language and Education, Language and Learning Course from the Open University, Statistics for the Evaluation of Evidence for Forensic Scientist, ""Aitken, G. Taroni, F."", 2004, Legal Translation explained, ""Alcarez, E. Hughes, B. Pym, A."", 2002, Reading in a Foreign Language, ""Alderson, J. Urquhart,"
0e317226-5142-4726-898d-547e0e168ae4.xlsx_7.1 Page.csv,"
Header: Quarter, Estimated resident population (a) – '000, Annual change – '000, Annual change – per cent
Data: 2009–10, 2010–11, 2011–12, 2012–13, 2013-14, September, December, March, June, 422, 316.3, 327.6, 395.8, 402.1, 390, 306.8, 347.8, 400.5, 393.4, 362.4, 304"
0c1b1da4-791b-4cd1-9bc2-0da6e98d4cbe.xls_KauaiCC Peer.csv,"
Header: ""UNIVERSITY OF HAWAI‘I, KAUA‘I COMMUNITY COLLEGE"", PEER GROUP  1/, Institution, City, State, 1994 Carnegie Classification, 2000 Carnegie Classification, Unit ID, FICE, URL
Group Header: PEER GROUP  1/
Metadata: ""Peer Group Listing:  University of Hawai‘i, Office of Planning & Policy, Revised April 1998"", ""Institution Names, Campus Locations"
vkaminski__40930__raptor1j.xlsx_Private Cash.csv,"
Header: 0
Data: 1-37
Group Header: 0
Metadata: None
Note: None
Derived: None"
0c69b9ea-0f6a-41d7-bcde-246e199f2a1c.xlsx_ISH.csv,"
Header: 0
Data: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
Group Header: None
Metadata: None
Note: 18
Derived: None"
3f819bf7-181d-4085-b7d4-59de1b9526c6.xls_INCIDENTS.csv,"
Header: 0, 1, 2, 3, 4, 5, 6, 7, 8, 9
Group Header: None
Metadata: None
Note: None
Derived: None"
